Airline,flightCode,NumFlight,Departure,Source,Duration,Stops,Arrival,Destination,Price,Page_URL
AirAsia,I5,743,04:55,Delhi,15h 00m,"1-stop",19:55,Mumbai,4092,https://flight.easemytrip.com/FlightList/Index?srch=DEL-Delhi-India%7CBOM-Mumbai-India%7C25/03/2023&px=1-0-0&cbn=0&ar=undefined&isow=true&isdm=true&lang=en-us&CouponCode=&ompAff=&bc=&ISWL=&CCODE=IN&curr=INR&apptype=B2C
AirAsia,I5,743,05:00,Delhi,06h 25m,"1-stop",11:25,Mumbai,4092,https://flight.easemytrip.com/FlightList/Index?srch=DEL-Delhi-India%7CBOM-Mumbai-India%7C26/03/2023&px=1-0-0&cbn=0&ar=undefined&isow=true&isdm=true&lang=en-us&CouponCode=&ompAff=&bc=&ISWL=&CCODE=IN&curr=INR&apptype=B2C
AirAsia,I5,1569,19:05,Delhi,07h 10m,2+-stop,02:15,Mumbai,4092,https://flight.easemytrip.com/FlightList/Index?srch=DEL-Delhi-India%7CBOM-Mumbai-India%7C27/03/2023&px=1-0-0&cbn=0&ar=undefined&isow=true&isdm=true&lang=en-us&CouponCode=&ompAff=&bc=&ISWL=&CCODE=IN&curr=INR&apptype=B2C
AirAsia,I5,1569,19:05,Delhi,07h 10m,2+-stop,02:15,Mumbai,4092,https://flight.easemytrip.com/FlightList/Index?srch=DEL-Delhi-India%7CBOM-Mumbai-India%7C28/03/2023&px=1-0-0&cbn=0&ar=undefined&isow=true&isdm=true&lang=en-us&CouponCode=&ompAff=&bc=&ISWL=&CCODE=IN&curr=INR&apptype=B2C
AirAsia,I5,1569,19:05,Delhi,07h 10m,2+-stop,02:15,Mumbai,4092,https://flight.easemytrip.com/FlightList/Index?srch=DEL-Delhi-India%7CBOM-Mumbai-India%7C29/03/2023&px=1-0-0&cbn=0&ar=undefined&isow=true&isdm=true&lang=en-us&CouponCode=&ompAff=&bc=&ISWL=&CCODE=IN&curr=INR&apptype=B2C
AirAsia,I5,1569,19:05,Delhi,07h 10m,2+-stop,02:15,Mumbai,4092,https://flight.easemytrip.com/FlightList/Index?srch=DEL-Delhi-India%7CBOM-Mumbai-India%7C30/03/2023&px=1-0-0&cbn=0&ar=undefined&isow=true&isdm=true&lang=en-us&CouponCode=&ompAff=&bc=&ISWL=&CCODE=IN&curr=INR&apptype=B2C
AirAsia,I5,745,12:45,Delhi,08h 05m,2+-stop,20:50,Mumbai,4092,https://flight.easemytrip.com/FlightList/Index?srch=DEL-Delhi-India%7CBOM-Mumbai-India%7C30/03/2023&px=1-0-0&cbn=0&ar=undefined&isow=true&isdm=true&lang=en-us&CouponCode=&ompAff=&bc=&ISWL=&CCODE=IN&curr=INR&apptype=B2C
AirAsia,I5,1569,19:05,Delhi,07h 10m,2+-stop,02:15,Mumbai,4092,https://flight.easemytrip.com/FlightList/Index?srch=DEL-Delhi-India%7CBOM-Mumbai-India%7C31/03/2023&px=1-0-0&cbn=0&ar=undefined&isow=true&isdm=true&lang=en-us&CouponCode=&ompAff=&bc=&ISWL=&CCODE=IN&curr=INR&apptype=B2C
AirAsia,I5,745,12:45,Delhi,08h 05m,2+-stop,20:50,Mumbai,4092,https://flight.easemytrip.com/FlightList/Index?srch=DEL-Delhi-India%7CBOM-Mumbai-India%7C31/03/2023&px=1-0-0&cbn=0&ar=undefined&isow=true&isdm=true&lang=en-us&CouponCode=&ompAff=&bc=&ISWL=&CCODE=IN&curr=INR&apptype=B2C
AirAsia,I5,743,05:00,Delhi,13h 50m,"1-stop",18:50,Mumbai,4092,https://flight.easemytrip.com/FlightList/Index?srch=DEL-Delhi-India%7CBOM-Mumbai-India%7C31/03/2023&px=1-0-0&cbn=0&ar=undefined&isow=true&isdm=true&lang=en-us&CouponCode=&ompAff=&bc=&ISWL=&CCODE=IN&curr=INR&apptype=B2C
